Graph Genus,MSE,Method
5,0.00029328431759772833,rounding
5,0.00017856520661305451,nearest
5,0.00170804000815738,rounding
5,0.0010847402519454886,nearest
5,0.002872442809353795,rounding
5,0.0012803831989395462,nearest
5,0.0026005436869844375,rounding
5,0.0009769673942856291,nearest
5,0.0035874476295723783,rounding
5,0.0009471309536884664,nearest
5,0.0003009777930790136,rounding
5,0.00018495465698307228,nearest
9,0.004568120669387062,rounding
9,0.0026792247873119023,nearest
9,0.004942703779308498,rounding
9,0.0019032765413314874,nearest
9,0.004175165716819816,rounding
9,0.0022113478563262072,nearest
9,0.0038263853664832156,rounding
9,0.001343104235731487,nearest
9,0.0035955356827393837,rounding
9,0.001885694150576019,nearest
9,0.00548565521823724,rounding
9,0.001579315513970473,nearest
13,0.004485553426604279,rounding
13,0.002898749916568011,nearest
13,0.008093214895700068,rounding
13,0.003416395161315031,nearest
13,0.0018540750735548586,rounding
13,0.0008612959338150052,nearest
13,0.003294967869858367,rounding
13,0.0013267762795641847,nearest
13,0.004940760965593493,rounding
13,0.0024570637987792205,nearest
13,0.0038655945781964933,rounding
13,0.0020928468941864642,nearest
17,0.005039500756889391,rounding
17,0.002736274208993922,nearest
17,0.004340033972897711,rounding
17,0.002809226426825621,nearest
17,0.004575516856973025,rounding
17,0.001980568433525707,nearest
17,0.0029516959470641617,rounding
17,0.0016813360914169624,nearest
17,0.00404027946198902,rounding
17,0.002030749077528274,nearest
17,0.006641391433557014,rounding
17,0.0023759396135575907,nearest
21,0.0068099081981509895,rounding
21,0.0036044163929580294,nearest
21,0.00644470473814266,rounding
21,0.003698748030046062,nearest
21,0.0060180444493532345,rounding
21,0.0036900606356479416,nearest
21,0.004782950593591737,rounding
21,0.0024573741210284156,nearest
21,0.004094416203513809,rounding
21,0.0024515275671821895,nearest
21,0.004768312638531412,rounding
21,0.0025534930503976335,nearest
25,0.007587761503910734,rounding
25,0.004221037487721734,nearest
25,0.005412419146915939,rounding
25,0.003376368293581804,nearest
25,0.005998811907025911,rounding
25,0.00347480773850466,nearest
25,0.0040135372858405485,rounding
25,0.002314826865063091,nearest
25,0.004520192922820362,rounding
25,0.0029031675257583387,nearest
25,0.00375811941838622,rounding
25,0.0022072799535060622,nearest
29,0.003792376716836871,rounding
29,0.0026753819070862842,nearest
29,0.007703824540631418,rounding
29,0.004049220484602356,nearest
29,0.004042822465342908,rounding
29,0.002920595350642142,nearest
29,0.00479297711094671,rounding
29,0.0034114795723569676,nearest
29,0.004770923617007575,rounding
29,0.0033678323602129934,nearest
29,0.00852241910271386,rounding
29,0.0051563120747101865,nearest
33,0.00414927185674586,rounding
33,0.003079626006366461,nearest
33,0.005118479367595176,rounding
33,0.003422956854275823,nearest
33,0.0036580515947785704,rounding
33,0.0022328066616525036,nearest
33,0.005077917652590557,rounding
33,0.0034269887336976835,nearest
33,0.003346898553368818,rounding
33,0.001783680060597971,nearest
33,0.005396810096062493,rounding
33,0.0035789584297519737,nearest
37,0.0039799825261585976,rounding
37,0.0030144115531815863,nearest
37,0.005574586894835808,rounding
37,0.003852015191707134,nearest
37,0.004843258316102949,rounding
37,0.0031113072381222643,nearest
37,0.005437877380793692,rounding
37,0.003895169652685992,nearest
37,0.005355517757285551,rounding
37,0.0027545591850902306,nearest
37,0.004191151398886803,rounding
37,0.002621277455707366,nearest
41,0.005380379181213396,rounding
41,0.003231289456188262,nearest
41,0.00520948566033323,rounding
41,0.003767397719141314,nearest
41,0.004619267125370784,rounding
41,0.0029905079526130426,nearest
41,0.003998939742900558,rounding
41,0.0028054798615034164,nearest
41,0.004545833482826181,rounding
41,0.002822493523461983,nearest
41,0.0037176195925672168,rounding
41,0.002849250400403023,nearest
